Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
NGC2366,12.70,9.0,Im,N,11.7,8.7,9.17,8.63,-0.95,-1.12
ESO059-001,,9.0,Im,N,14.0,8.17,9.1,8.00,-2.15,
AGC174585,,10.0,Ir,N,17.9,6.94,5.95,6.89,-3.38,
NGC2403,10.70,6.0,,,8.8,9.86,10.71,9.26,-0.15,-0.08
LVJ0737+4724,20.00,10.0,Ir,N,18.1,7.61,7.71,7.76,-2.83,-2.48
DDO046,16.20,10.0,Ir,N,14.4,8.47,9.68,8.58,-2.00,-1.50
DDO047,15.00,8.0,,,13.6,8.74,9.4,8.82,-1.74,-1.30
KK65,17.60,10.0,Ir,N,15.3,8.11,7.66,7.70,-1.87,-2.33
KKH40,17.90,10.0,Ir,N,16.6,7.65,7.12,7.72,-2.41,-2.23
CGCG262-028,16.00,9.0,BCD,N,14.8,8.18,8.62,8.13,-1.39,-1.42
AGC174605,19.50,10.0,Ir,N,18.0,7.06,6.7,7.16,-3.56,-2.99
UGC04115,15.80,10.0,Ir,N,15.2,8.26,8.85,8.35,-1.81,-1.66
NGC2500,13.80,7.0,,,12.2,9.8,9.97,8.95,-0.38,-0.37
LVJ0812+4836,19.00,9.0,BCD,N,17.1,7.69,7.9,7.66,-2.70,-2.46
NGC2537,14.30,8.0,,,12.3,9.84,9.96,8.74,-0.41,-0.56
NGC2541,13.20,7.0,,,12.3,9.48,10.47,9.52,-0.28,0.09
HolmII,12.60,9.0,Im,N,11.1,9.2,9.41,8.63,-1.15,-1.04
NGC2552,14.60,8.0,,,12.7,9.51,10.05,8.88,-0.79,-0.65
ESO495-008,,10.0,Ir,N,16.1,8.52,8.9,8.26,-1.74,
AGC188955,18.50,10.0,Ir,N,17.5,7.61,7.48,7.48,-2.11,-2.24
KDG052,17.50,10.0,Ir,L,16.4,6.93,6.28,7.02,-5.23,-3.06
KUG0821+321,,9.0,BCD,N,16.9,7.83,8.15,7.70,-2.29,
DDO052,17.00,10.0,Ir,N,15.3,8.36,8.92,8.28,-2.43,-1.91
LVJ0831+4104,19.80,9.0,BCD,N,17.7,7.02,6.37,6.40,-4.45,-3.26
DDO053,15.60,10.0,Ir,N,14.6,7.34,7.79,7.64,-2.13,-2.20
ESO495-021,,9.0,BCD,H,12.5,9.56,9.52,8.28,-0.20,
UGC04483,16.00,10.0,Ir,N,15.0,7.09,7.39,7.61,-2.38,-2.40
AGC181604,18.50,10.0,Ir,N,17.4,7.58,6.9,8.01,,-2.26
LVJ0843+4025,19.10,9.0,BCD,N,17.9,6.92,5.83,6.43,-3.10,-2.99
ESO496-010,17.80,9.0,BCD,N,14.8,8.43,8.51,7.76,,-2.12
AGC182595,19.30,9.0,BCD,N,17.2,7.3,5.92,6.95,-2.91,-2.92
NGC2683,14.40,3.0,,,10.3,10.81,11.25,9.14,-0.10,-0.02
KK69,20.80,10.0,Ir,L,16.7,7.55,6.73,7.66,-3.57,-3.53
NGC2683dw1,21.10,10.0,Ir,L,18.7,6.85,,,-3.11,-3.51
UGC04704,16.10,8.0,,,15.0,8.93,9.84,8.99,-1.38,-0.89
LVJ0859+3923,19.20,9.0,BCD,N,17.3,7.34,7.25,7.10,,-2.88
PGC025409,17.60,9.0,BCD,N,16.3,7.61,,,,-2.26
ESO497-004,19.20,8.0,Sm,,15.1,8.85,8.95,8.23,-2.46,-1.97
UGC04787,16.20,8.0,,,14.6,9.26,9.74,8.83,-1.19,-0.82
KKH46,18.10,10.0,Ir,N,17.1,7.16,6.86,7.44,-2.60,-2.67
DDO056,,10.0,Ir,N,15.3,8.5,9.02,7.96,-2.03,
KSP-DW18,22.50,9.0,Im,N,19.8,6.58,,,,-3.71
NGC2784,16.70,-2.0,,,11.2,10.8,,,-1.06,-1.21
UGCA153,17.10,8.0,,,15.4,9.07,9.79,9.06,-1.42,-1.00
LVJ0913+1937,18.90,10.0,Ir,N,17.4,7.24,6.27,7.04,-2.93,-2.78
UGC04879,16.00,9.0,BCD,N,13.8,6.99,6.05,5.99,-4.33,-3.28
HIPASSJ0916-23b,18.30,10.0,Ir,N,15.0,8.47,7.76,7.51,-2.66,-2.16
KSP-DW28,22.30,-1.0,Tr,L,17.9,7.93,,,,-3.89
NGC2835,13.20,5.0,,,11.0,10.34,10.71,9.49,0.37,0.17
UGC04918,19.70,9.0,Im,N,16.0,7.74,,,,-3.08
NGC2787,18.90,1.0,,,11.8,10.19,10.58,8.43,-2.21,-2.34
UGC04932,17.10,8.0,,,15.2,8.69,9.5,8.72,-1.61,-1.26
KSP-DW30,21.60,10.0,Ir,L,19.3,6.65,,,,-3.64
